Year HCFC141B.box.1 HCFC141B.box.2 HCFC141B.box.3 HCFC141B.box.4 HCFC141B.sd.1 HCFC141B.sd.2 HCFC141B.sd.3 HCFC141B.sd.4 HFC134A.box.1 HFC134A.box.2 HFC134A.box.3 HFC134A.box.4 HFC134A.sd.1 HFC134A.sd.2 HFC134A.sd.3 HFC134A.sd.4 N2O.box.1 N2O.box.2 N2O.box.3 N2O.box.4 N2O.sd.1 N2O.sd.2 N2O.sd.3 N2O.sd.4 SF6.box.1 SF6.box.2 SF6.box.3 SF6.box.4 SF6.sd.1 SF6.sd.2 SF6.sd.3 SF6.sd.4 CFC11.box.1 CFC11.box.2 CFC11.box.3 CFC11.box.4 CFC11.sd.1 CFC11.sd.2 CFC11.sd.3 CFC11.sd.4 CFC12.box.1 CFC12.box.2 CFC12.box.3 CFC12.box.4 CFC12.sd.1 CFC12.sd.2 CFC12.sd.3 CFC12.sd.4 HCFC22.box.1 HCFC22.box.2 HCFC22.box.3 HCFC22.box.4 HCFC22.sd.1 HCFC22.sd.2 HCFC22.sd.3 HCFC22.sd.4
1980.125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.875 301.825 300.968 301.613 0.295343 0.414762 0.319775 0.0695669 NA NA NA NA NA NA NA NA 172.167 167.779 157.974 156.868 0.310602 1.26314 1.70547 0.20318 310.566 313.341 287.48 283.83 0.852389 3.68573 5.37804 0.555814 NA NA NA NA NA NA NA NA
1980.208 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.426 301.609 300.556 301.7 0.279191 0.278079 0.62986 0.117219 NA NA NA NA NA NA NA NA 172.991 168.28 158.701 157.521 0.206325 1.37154 2.064 0.20318 312.006 313.507 288.374 284.97 0.737741 12.3486 13.76 0.555814 NA NA NA NA NA NA NA NA
1980.292 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.138 301.422 300.118 301.499 0.290565 0.615074 0.771983 0.150431 NA NA NA NA NA NA NA NA 173.701 168.839 159.316 158.476 0.337646 0.914362 2.44192 0.540185 312.988 313.629 289.017 286.301 0.881709 3.54905 22.3455 0.708199 NA NA NA NA NA NA NA NA
1980.375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.093 301.203 299.923 301.126 0.444744 0.476034 0.726762 0.102567 NA NA NA NA NA NA NA NA 174.295 169.479 159.832 159.693 0.586948 0.452468 2.47099 0.20318 313.545 313.714 289.514 287.738 1.97398 3.28511 14.8162 0.555814 NA NA NA NA NA NA NA NA
1980.458 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.284 300.997 300.021 301.042 0.239621 0.393553 0.62017 0.249091 NA NA NA NA NA NA NA NA 174.803 170.169 160.308 161.049 0.375205 0.730547 1.45352 0.20318 313.803 313.75 289.974 289.198 1.44353 7.80036 4.86446 0.348727 NA NA NA NA NA NA NA NA
1980.542 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.437 301.02 300.274 301.176 0.276266 0.410049 0.300395 0.157269 NA NA NA NA NA NA NA NA 175.275 170.882 160.819 162.419 0.733958 1.71561 0.697691 0.20318 313.871 313.715 290.493 290.667 4.62665 10.157 4.3315 0.497205 NA NA NA NA NA NA NA NA
1980.625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.343 301.347 300.34 301.357 0.223382 0.76354 0.781673 0.220763 NA NA NA NA NA NA NA NA 175.713 171.566 161.396 163.677 0.620564 1.40925 1.52135 0.20318 313.922 313.544 291.112 292.089 1.2257 12.325 4.08925 0.555814 NA NA NA NA NA NA NA NA
1980.708 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.141 301.713 299.882 301.479 0.288445 0.619787 1.07561 0.0665893 NA NA NA NA NA NA NA NA 176.113 172.18 162.036 164.732 1.41102 1.46109 1.14344 0.20318 314.224 313.318 291.851 293.357 2.76234 2.75251 3.70164 0.817604 NA NA NA NA NA NA NA NA
1980.792 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.892 301.763 299.143 301.114 0.359739 0.440685 0.581409 0.0595864 NA NA NA NA NA NA NA NA 176.496 172.745 162.732 165.54 0.617333 1.98897 3.44001 0.179736 314.911 313.342 292.83 294.43 0.868194 4.68493 6.92846 0.582189 NA NA NA NA NA NA NA NA
1980.875 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.585 301.413 298.875 300.286 0.396274 0.398266 0.558799 0.125034 NA NA NA NA NA NA NA NA 176.915 173.315 163.472 166.109 1.00708 1.82872 1.52135 0.20318 315.912 313.915 294.255 295.375 1.13382 3.61032 5.68812 0.337982 NA NA NA NA NA NA NA NA
1980.958 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.513 300.948 299.416 299.861 0.384011 0.509026 0.891494 0.0967058 NA NA NA NA NA NA NA NA 177.408 173.9 164.245 166.456 0.534854 2.04553 2.21905 0.516741 317.179 315.047 296.279 296.245 1.82871 4.95358 6.47303 0.597818 NA NA NA NA NA NA NA NA
1981.042 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.857 300.863 300.326 300.27 0.228629 0.501957 0.439287 0.24616 NA NA NA NA NA NA NA NA 177.947 174.486 165.031 166.65 0.337793 0.447755 5.29083 0.20318 318.704 316.677 298.732 297.075 1.12759 1.80045 7.15134 0.673034 NA NA NA NA NA NA NA NA
1981.125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.399 301.338 300.989 301.177 0.28656 0.520809 1.25972 0.18462 NA NA NA NA NA NA NA NA 178.493 175.073 165.832 166.75 0.453681 0.296932 1.56012 0.504043 320.448 318.81 301.293 297.954 1.45931 2.33304 4.10863 0.638845 NA NA NA NA NA NA NA NA
1981.208 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.816 302.079 301.031 302.237 0.204215 0.473677 0.781673 0.143594 NA NA NA NA NA NA NA NA 179.069 175.728 166.667 166.81 0.557534 0.9992 2.52913 0.20318 322.392 321.615 303.73 299.077 1.16198 2.56398 6.15325 0.555814 NA NA NA NA NA NA NA NA
1981.292 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.958 302.674 300.684 303.104 0.365522 0.471321 0.374686 0.137733 NA NA NA NA NA NA NA NA 179.729 176.518 167.547 166.928 0.403821 1.15002 2.064 0.20318 324.534 325.026 305.97 300.636 2.12643 2.69124 5.45556 0.555814 NA NA NA NA NA NA NA NA
1981.375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.873 302.862 300.617 303.404 0.209282 0.0801245 0.791363 0.10452 NA NA NA NA NA NA NA NA 180.47 177.415 168.452 167.242 0.191882 0.928502 2.32564 0.20318 326.726 328.638 307.978 302.696 1.56897 3.747 8.1688 0.555814 NA NA NA NA NA NA NA NA
1981.458 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.752 302.695 301.098 303.191 0.249942 0.38884 0.681541 0.133825 NA NA NA NA NA NA NA NA 181.248 178.339 169.381 167.826 0.584252 1.38097 1.46321 0.20318 328.755 331.981 309.808 305.106 2.02196 5.16096 12.6553 0.555814 NA NA NA NA NA NA NA NA
